Category;Phase;Group;Rank;TeamName;TeamRace;Coach;Points;CustomPoints;BuchholzScore;SonnebornBergerScore;CumulativeScore;Played;Wins;Draws;Losses;TdFor;TdAgainst;CasualtiesFor;CasualtiesAgainst;InjuriesFor;InjuriesAgainst;Completions;Interceptions;DeathsFor;DeathsAgainst;FoulsFor;FoulsAgainst;SentOffsFor;SentOffsAgainst;SecretObjectives
Season;Main;;1;AllBlood U;Vampire;Mike;32;0;166;139;158;8;7;0;1;17;4;22;21;26;19;6;0;1;1;0;3;0;0;0
Season;Main;;2;The Lab Rats;Skaven;BigJoeBabowski;29;0;178;132.5;125;8;6;1;1;24;8;11;19;17;20;15;1;0;0;0;1;1;3;0
Season;Main;;3;Pond Scum;Slann;Tyson;27;0;173;147;113;8;6;2;0;15;8;22;19;29;19;9;1;1;4;0;1;0;3;0
Season;Main;;4;Mummies With Attitude;Tomb Kings;Corbin;24;0;154;76;113;8;4;1;3;8;4;24;6;24;7;1;0;3;1;0;3;3;0;0
Season;Main;;5;Dream Sickles;Lizardmen;Retloc;23;0;182;107.5;115;8;5;1;2;11;9;20;16;22;21;1;0;3;3;0;0;0;0;0
Season;Main;;6;The Lords of Minor Inconvenience;Imperial Nobility;Pete;20;0;179;75.5;98;8;3;2;3;11;8;17;19;17;24;6;0;1;1;3;2;1;2;0
Season;Main;;7;Atomic Tators;Chaos Dwarf;Evillscotsman;20;0;141;44;95;8;4;0;4;7;8;24;7;31;8;1;1;4;1;1;5;0;3;0
Season;Main;;8;Da Blue Bois;Black Orc;Firstnames;19;0;135;45;92;8;3;2;3;11;9;19;13;23;12;1;0;2;0;3;4;3;1;0
Season;Main;;9;Karnage City Cheats;Orc;Anthony Nevill;19;0;120;51;89;8;3;3;2;11;6;26;12;31;14;2;0;4;0;3;2;0;3;0
Season;Main;;10;Snot: My Problem;Snotling;Iceicebrownie;18;0;165;64;91;8;3;2;3;7;14;18;35;24;49;0;0;0;1;4;2;9;6;0
Season;Main;;11;Hedonite FC;Chaos Chosen;Urdnot_Wellman;18;0;147;46;82;8;3;2;3;11;8;15;13;19;17;1;0;2;2;2;0;1;5;0
Season;Main;;12;The Sylvania Starters;Shambling Undead;Jaybles;18;0;95;24.5;62;8;3;1;4;11;7;23;13;31;10;4;0;3;2;5;2;4;2;0
Season;Main;;13;Iron Horse Helsmiths;Chaos Dwarf;JohnTaylor;17;0;146;53;72;8;3;1;4;7;12;30;9;27;10;2;0;1;1;2;1;3;2;0
Season;Main;;14;The Inquisition;Human;Coach Hart;17;0;142;65;69;8;4;1;3;13;14;17;13;18;16;17;0;4;1;1;3;0;4;0
Season;Main;;15;The Twinkzone Tipflickas;Snotling;TravyWavvy;16;0;132;74.5;79;8;3;3;2;10;9;14;24;24;30;0;0;3;3;5;4;17;1;0
Season;Main;;16;Gnewport Gnomies;Gnome;Dante Hart;14;0;129;51;72;8;3;2;3;9;9;12;26;11;42;2;1;1;3;1;2;1;5;0
Season;Main;;17;Lunar Bloodletters;Dark Elf;Bryanna;12;0;122;28.5;72;8;2;2;4;9;11;8;14;15;16;2;0;1;0;0;2;0;2;0
Season;Main;;18;The Magnificent Mortley;Bretonnian;andrew rico;11;0;111;11;26;7;2;0;5;8;13;12;15;12;17;15;0;2;1;2;4;0;1;0
Season;Main;;19;Total Khornage;Khorne;RC West;10;0;112;23;41;8;1;3;4;4;9;15;13;22;14;2;0;2;3;8;5;3;4;0
Season;Main;;20;Possum Lodge;Ogre;alexbenj;9;0;114;27;40;7;1;2;4;5;11;18;24;22;35;0;0;3;0;11;4;3;5;0
Season;Main;;21;Green Swamp OoohhGrrrrs;Ogre;BJ ;9;0;94;6;33;7;1;1;5;8;10;8;39;10;48;1;0;1;12;0;12;0;0;0
Season;Main;;22;The Blood Synthesizers;Khorne;DrPretzel;1;0;97;0;4;7;0;0;7;0;26;12;17;15;22;0;0;1;3;16;5;3;0;0
